slope,layer,Hs,Tp,L0,Irr,runup
0.667,1,0.065,1.315,2.6975909999999996,4.296919401687679,0.095
0.667,1,0.084,1.084,1.8330873600000002,3.115858825472407,0.111666666666667
0.667,1,0.104,1.103,1.8979100400000002,2.849357720788143,0.135
0.667,1,0.105,1.041,1.6905423599999998,2.6763580442335653,0.161666666666667
0.667,1,0.127,0.988,1.52278464,2.3096342821671767,0.166666666666667
0.667,1,0.064,1.311,2.68120476,4.317186772930884,0.09
0.667,1,0.083,1.095,1.870479,3.1663812567383762,0.106666666666667
0.667,1,0.104,1.12,1.9568640000000004,2.893273478950789,0.136666666666667
0.667,1,0.106,1.059,1.74951036,2.7097620771246724,0.165
0.667,1,0.127,0.981,1.50128316,2.293270476524292,0.171666666666667
0.667,1,0.066,1.318,2.7099134400000002,4.273971044711549,0.0883333333333333
0.667,1,0.082,1.091,1.85683836,3.173992947918995,0.116666666666667
0.667,1,0.103,1.11,1.9220760000000003,2.881326672528689,0.14
0.667,1,0.103,1.066,1.7727153600000003,2.7671119215455695,0.168333333333333
0.667,1,0.121,1.01,1.591356,2.418893913409718,0.17
0.5,1,0.064,1.287,2.5839356399999995,3.1770266907519047,0.08
0.5,1,0.083,1.254,2.4531249600000002,2.718258744566021,0.0933333333333333
0.5,1,0.103,1.299,2.63234556,2.5276843656649826,0.108888888888889
0.5,1,0.108,1.1,1.8876000000000004,2.090321612681753,0.135555555555556
0.5,1,0.112,1.137,2.0167196400000003,2.1216989275780187,0.142222222222222
0.5,1,0.0602,1.279,2.55191196,3.2554018231088357,0.0733333333333333
0.5,1,0.081,1.276,2.53995456,2.7998867701973102,0.0911111111111111
0.5,1,0.099,1.269,2.5121631599999996,2.51869933966648,0.0955555555555556
0.5,1,0.105,1.127,1.98140124,2.172008747680359,0.114444444444444
0.5,1,0.114,1.133,2.00255484,2.0956067454508127,0.123333333333333
0.5,1,0.063,1.249,2.4336015600000005,3.1075953802931053,0.0766666666666667
0.5,1,0.086,1.219,2.3180991600000005,2.5958929771539525,0.0877777777777778
0.5,1,0.097,1.32,2.7181440000000006,2.6467953780365945,0.111111111111111
0.5,1,0.106,1.113,1.9324796400000002,2.134885242817515,0.11
0.5,1,0.118,1.126,1.9778865599999997,2.0470558436736996,0.115555555555556
0.5,2,0.059,1.274,2.53199856,3.275485835357424,0.0511111111111111
0.5,2,0.08,1.28,2.5559040000000004,2.8261634772249113,0.0688888888888889
0.5,2,0.088,1.088,1.8466406400000002,2.290444974632262,0.0922222222222222
0.5,2,0.104,1.12,1.9568640000000004,2.1688706738761536,0.101111111111111
0.5,2,0.118,1.16,2.099136,2.1088674766087854,0.102222222222222
0.5,2,0.058,1.299,2.63234556,3.368429466229851,0.0477777777777778
0.5,2,0.078,1.069,1.78270716,2.3903566679472754,0.0788888888888889
0.5,2,0.092,1.13,1.9919639999999996,2.3265738011449177,0.0944444444444444
0.5,2,0.102,1.036,1.6743417600000001,2.0257785721863613,0.106666666666667
0.5,2,0.112,1.086,1.8398577600000003,2.026530374098266,0.106666666666667
0.5,2,0.06,1.277,2.54393724,3.2557239594289933,0.0466666666666667
0.5,2,0.081,1.077,1.80948924,2.363227313089736,0.0733333333333333
0.5,2,0.095,1.1015,1.8927515099999999,2.2317986079204792,0.0877777777777778
0.5,2,0.106,1.136,2.01317376,2.179002368230635,0.101111111111111
0.5,2,0.105,1.034,1.66788336,1.9927746629117045,0.0988888888888889
